,COMMERCIAL_TEAM,COMMERCIAL_COUNTRY_NAME,PERIOD,Commercial_SUBREGION_DESC,COMMERCIAL_DISTRICT_DESCRIPTION,NET_QTY,COMMERCIAL_DISTRICT,REGION_DESCRIPTION,COMMERCIAL_SALES_TERRITORY_CODE,CROP,SALES_TC_FXACT,COMMERCIAL_AREA_DESCRIPTION,COMMERCIAL_AREA_CODE,COMMERCIAL_TEAM_DESCRIPTION,SURCHARGE,GROSS_SALES,MATERIAL_NBR,REGION_CODE,COMPANY_CODE,BASE_SALES,DISCOUNT
18,CT58,Türkiye,2022.08,TURKEY,CD-Turkey,287.0817144446518,CD-TR,EMEA,604.0,OTHER VEGETABLE SEED,20606.836290418283,"TURKEY, M-EAST & MAGHREB",CAE2,TURKEY & S-CA,3434.648374737731,24489.289119947465,,1,3970.0,21054.640745209734,3882.452829529181
19,CT5,Spain,2021.02,IBERICA,CD-Spain,493.3624314501726,CD-ES,EMEA,649.0,OTHER VEGETABLE SEED,27825.322790724724,SOUTH EUROPE,CAW1,IBERICA,4815.552945462727,31586.14453728128,,1,3781.0,26770.591591818553,3760.8217465565563
20,CT50,France,2021.06,EMEA PROCESSING,CD-France-Proc,1494.442556181572,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",23208.30762447038,NORTH EUROPE,CAW2,EMEA PROCESSING,2971.424487361497,27121.44720840422,,1,3155.0,24150.022721042726,3913.139583933841
21,CT51,France,2022.11,EMEA GLASS,CD-France-Glass,586.7330758442843,CD-FR-GLAS,EMEA,664.0,TOMATO,15354.068384864102,NORTH EUROPE,CAW2,EMEA GLASS,2098.9850211929133,19196.35242357663,,1,3354.0,17097.367402383716,3842.284038712529
22,CT51,France,2022.12,EMEA GLASS,CD-France-Glass,343.2754262949309,CD-FR-GLAS,EMEA,664.0,TOMATO,12525.228436398376,NORTH EUROPE,CAW2,EMEA GLASS,1794.3396514617564,14821.858764139653,,1,3354.0,13027.519112677897,2296.6303277412767
23,CT51,Netherlands,2022.08,EMEA GLASS,CD-Netherlands-Glass,339.9653917085408,CD-NL-GLAS,EMEA,663.0,TOMATO,28165.932788267626,NORTH EUROPE,CAW2,EMEA GLASS,4360.777227111623,30587.064785999257,,1,3605.0,26226.287558887634,2421.1319977316293
24,CT52,Germany,2022.12,NW OPEN FIELD,CD-Germany-Openf,767.7525657779852,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,23711.932103985102,NORTH EUROPE,CAW2,NW OPEN FIELD,4163.770357819387,28136.347525373367,,1,3385.0,23972.57716755398,4424.415421388266
25,CT56,Rep. of Belarus,2022.03,RUSSIA & UKRAINE,CD-Belarus,1917.241140559669,CD-BY,EMEA,685.0,CUCUMBER,15560.897210370511,"E-EUROPE, AFRICA & IRAN",CAE1,E-EUROPE & ISRAEL,3011.035385566599,17865.71324702441,,1,3605.0,14854.67786145781,2304.816036653899
26,CT53,Iraq,2022.11,MIDDLE EAST,CD-Iraq,384.4040172930175,CD-IQ,EMEA,656.0,CUCUMBER,28893.937330706067,"TURKEY, M-EAST & MAGHREB",CAE2,MIDDLE EAST & EGYPT,6559.580760243512,33794.168087727725,,1,3605.0,27234.587327484216,4900.230757021656
27,CT7,Italy,2022.01,ITALY,CD-Italy,237.8660959448771,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,22957.075638032416,SOUTH EUROPE,CAW1,ITALY,3384.062382009608,27202.428858931104,,1,3515.0,23818.366476921496,4245.353220898689
28,CT52,Netherlands,2020.06,NW OPEN FIELD,CD-Netherlands-Openf,282.2081789746801,CD-NL-OPEN,EMEA,669.0,CARROT,12076.119899507625,NORTH EUROPE,CAW2,NW OPEN FIELD,1565.7996266114449,13842.362823856643,,1,3605.0,12276.5631972452,1766.2429243490183
29,CT52,Netherlands,2021.12,NW OPEN FIELD,CD-Netherland-Openf,1171.082072218502,CD-NL-OPEN,EMEA,669.0,ONION,14036.788896646405,NORTH EUROPE,CAW2,NW OPEN FIELD,2204.1492697050226,15929.536099372523,,1,3605.0,13725.386829667501,1892.747202726117
30,CT59,Iran,2022.03,IRAN,CD-Iran,1571.21033406481,CD-IR,EMEA,688.0,SPINACH,11612.718232969886,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,1581.4002361344565,14096.706497163585,,1,3605.0,12515.306261029129,2483.9882641936983
31,CT58,Türkiye,2022.02,TURKEY,CD-Turkey,1313.474125291608,CD-TR,EMEA,604.0,OTHER VEGETABLE SEED,19528.14137183798,"TURKEY, M-EAST & MAGHREB",CAE2,TURKEY & S-CA,2256.7919427134566,21773.110426008796,,1,3970.0,19516.31848329534,2244.969054170816
32,CT7,Italy,2020.06,ITALY,CD-Italy,665.9390010111019,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,16545.59135505208,SOUTH EUROPE,CAW1,ITALY,3065.2487289764936,19840.803789544898,,1,3515.0,16775.555060568404,3295.2124344928166
33,CT50,France,2021.02,EMEA PROCESSING,CD-France-Proc,326.688982787402,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",30253.82839132326,NORTH EUROPE,CAW2,EMEA PROCESSING,5533.343385669915,32662.919875592037,,1,3155.0,27129.57648992212,2409.091484268778
34,CT51,France,2021.02,EMEA GLASS,CD-France-Glass,197.6300964625675,CD-FR-GLAS,EMEA,664.0,TOMATO,27132.743837439142,NORTH EUROPE,CAW2,EMEA GLASS,3773.7602708826594,29122.115560466773,,1,3354.0,25348.355289584113,1989.371723027631
35,CT52,France,2020.05,NW OPEN FIELD,CD-France-Openf,1378.693446142214,CD-FR-OPEN,EMEA,670.0,SQUASH,30173.215208572845,NORTH EUROPE,CAW2,NW OPEN FIELD,3386.8645805066844,32871.75871793146,,1,3354.0,29484.894137424777,2698.543509358613
36,CT56,Ukraine,2022.03,RUSSIA & UKRAINE,CD-Ukraine,506.6666977502302,CD-UA,EMEA,685.0,CARROT,25028.122184883196,"E-EUROPE, AFRICA & IRAN",CAE1,E-EUROPE & ISRAEL,4388.783323114869,31880.929402361315,,1,3605.0,27492.146079246446,6852.807217478119
37,CT59,Iran,2022.07,IRAN,CD-Iran,2016.997797374798,CD-IR,EMEA,688.0,TOMATO,10686.946695667684,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,1313.3718838023515,12244.414557224853,,1,3605.0,10931.0426734225,1557.467861557169
38,CT58,Türkiye,2022.04,TURKEY,CD-Turkey,1143.55311573408,CD-TR,EMEA,604.0,OTHER VEGETABLE SEED,11761.77895038026,"TURKEY, M-EAST & MAGHREB",CAE2,TURKEY & S-CA,2017.2154183470773,14183.498621442473,,1,3970.0,12166.283203095396,2421.719671062214
39,CT50,France,2021.07,EMEA PROCESSING,CD-France-Proc,241.0066016192836,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",20103.358774417884,NORTH EUROPE,CAW2,EMEA PROCESSING,2453.844005614622,24978.51614968771,,1,3155.0,22524.67214407309,4875.157375269828
40,CT51,France,2022.02,EMEA GLASS,CD-France-Glass,725.9156179131544,CD-FR-GLAS,EMEA,664.0,TOMATO,20173.917770129614,NORTH EUROPE,CAW2,EMEA GLASS,4016.3018088762815,27707.433667482197,,1,3354.0,23691.131858605917,7533.515897352581
41,CT52,Netherlands,2021.1,NW OPEN FIELD,CD-Netherlands-Openf,1890.318751649756,CD-NL-OPEN,EMEA,669.0,CAULIFLOWER,21794.30971867209,NORTH EUROPE,CAW2,NW OPEN FIELD,3155.2067255666752,25751.312432362007,,1,3155.0,22596.10570679533,3957.0027136899157
42,CT52,Netherlands,2021.08,NW OPEN FIELD,CD-Netherlands-Openf,35.40124925942587,CD-NL-OPEN,EMEA,669.0,CAULIFLOWER,20919.132625571467,NORTH EUROPE,CAW2,NW OPEN FIELD,2787.2854043867305,23274.16709955943,,1,3155.0,20486.8816951727,2355.0344739879606
43,CTX1,Undef EMEA,2022.05,UNDEF EMEA,CD-Undef EMEA,798.235526459982,CD-X1,EMEA,911.0,PEA,16339.065916225796,UNDEF EMEA,CAX1,UNDEF EMEA,1886.2958439999602,18036.99311361598,,1,3605.0,16150.697269616021,1697.9271973901837
44,CTX1,Undef EMEA,2021.12,UNDEF EMEA,CD-Undef EMEA,870.6141798744504,CD-X1,EMEA,911.0,TOMATO,27461.843291299952,UNDEF EMEA,CAX1,UNDEF EMEA,4141.40095795009,31361.511093893347,,1,3605.0,27220.110135943258,3899.667802593395
45,CT59,Iran,2021.01,IRAN,CD-Iran,636.8273203181368,CD-IR,EMEA,688.0,TOMATO,17394.843751900175,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,2983.932239738596,21321.938425040178,,1,3605.0,18338.006185301583,3927.0946731400027
46,CT51,Netherlands,2021.07,EMEA GLASS,CD-Netherlands-Glass,895.9085193885901,CD-NL-GLAS,EMEA,663.0,CUCUMBER,17081.99907299361,NORTH EUROPE,CAW2,EMEA GLASS,2896.509154466914,20303.40325811835,,1,3155.0,17406.894103651433,3221.4041851247375
47,CT51,Netherlands,2021.03,EMEA GLASS,CD-Netherlands-Glass,1342.361294922432,CD-NL-GLAS,EMEA,663.0,CUCUMBER,11084.260383713112,NORTH EUROPE,CAW2,EMEA GLASS,1570.190375353843,12811.966923680851,,1,3605.0,11241.776548327009,1727.7065399677397
48,CT52,Germany,2021.03,NW OPEN FIELD,CD-Germany-Openf,414.0796135198415,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,14717.984952720984,NORTH EUROPE,CAW2,NW OPEN FIELD,2473.4601340613985,17561.565956132825,,1,3385.0,15088.105822071426,2843.5810034118404
49,CT52,Germany,2021.05,NW OPEN FIELD,CD-Germany-Openf,1222.15020548053,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,27325.110152932088,NORTH EUROPE,CAW2,NW OPEN FIELD,3746.808667783265,32898.37868243377,,1,3385.0,29151.57001465051,5573.268529501685
50,CT52,Germany,2022.11,NW OPEN FIELD,CD-Germany-Openf,75.20350975880751,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,28191.295834475124,NORTH EUROPE,CAW2,NW OPEN FIELD,4087.1948609641963,31943.136699861985,,1,3385.0,27855.94183889779,3751.8408653868605
51,CT52,Netherlands,2020.01,NW OPEN FIELD,CD-Netherland-Openf,1126.692951644285,CD-NL-OPEN,EMEA,669.0,BROCCOLI,25559.469481452525,NORTH EUROPE,CAW2,NW OPEN FIELD,3294.8183700462446,31380.630619324533,,1,3155.0,28085.81224927829,5821.161137872007
52,CT52,Netherlands,2020.06,NW OPEN FIELD,CD-Netherlands-Openf,2193.422777810144,CD-NL-OPEN,EMEA,669.0,CAULIFLOWER,21020.064169925437,NORTH EUROPE,CAW2,NW OPEN FIELD,2514.500761917316,25097.387076394247,,1,3155.0,22582.88631447693,4077.32290646881
53,CT56,Russian Fed.,2022.04,RUSSIA & UKRAINE,CD-Russian Fed.,992.4609012716666,CD-RU,EMEA,684.0,TOMATO,25512.50688245017,"E-EUROPE, AFRICA & IRAN",CAE1,E-EUROPE & ISRAEL,4442.796840540724,31488.222449808465,,1,3605.0,27045.425609267742,5975.715567358297
54,CT50,France,2021.11,EMEA PROCESSING,CD-France-Proc,189.1501477226453,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",22936.867980773597,NORTH EUROPE,CAW2,EMEA PROCESSING,2846.9255408757276,26752.324706783704,,1,3155.0,23905.399165907977,3815.456726010106
55,CT50,France,2021.05,EMEA PROCESSING,CD-France-Proc,389.927712068416,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",25913.09392314546,NORTH EUROPE,CAW2,EMEA PROCESSING,4736.41538518336,30152.444868838174,,1,3155.0,25416.029483654813,4239.350945692713
56,CT51,France,2021.06,EMEA GLASS,CD-France-Glass,444.4694057816935,CD-FR-GLAS,EMEA,664.0,TOMATO,15736.12636569441,NORTH EUROPE,CAW2,EMEA GLASS,2106.709153747831,17350.586805152026,,1,3354.0,15243.877651404197,1614.4604394576168
57,CT51,France,2022.03,EMEA GLASS,CD-France-Glass,108.9575632772694,CD-FR-GLAS,EMEA,664.0,TOMATO,24272.19514329225,NORTH EUROPE,CAW2,EMEA GLASS,4121.515276508233,26690.907677937546,,1,3354.0,22569.39240142931,2418.7125346452967
58,CT51,Sweden,2022.12,EMEA GLASS,CD-Sweden-Glass,498.3071538128927,CD-SE-GLAS,EMEA,666.0,TOMATO,19539.86582687994,NORTH EUROPE,CAW2,EMEA GLASS,3009.9174155199585,22789.45726414514,,1,3605.0,19779.539848625183,3249.5914372651996
59,CT52,Germany,2022.03,NW OPEN FIELD,CD-Germany-Openf,482.5534544413918,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,22059.749256489045,NORTH EUROPE,CAW2,NW OPEN FIELD,3924.3617755939304,25097.901020428635,,1,3385.0,21173.539244834705,3038.1517639395893
60,CT1,Nigeria,2021.12,WEST AFRICA,CD-Nigeria,801.8132374583215,CD-NG,EMEA,637.0,OTHER VEGETABLE SEED,25137.329731045997,"E-EUROPE, AFRICA & IRAN",CAE1,AFRICA,3478.048457475796,27466.601919322766,,1,3605.0,23988.55346184697,2329.2721882767705
61,CT5,Spain,2022.12,IBERICA,CD-Spain,584.7623999643845,CD-ES,EMEA,649.0,OTHER VEGETABLE SEED,18798.497285133773,SOUTH EUROPE,CAW1,IBERICA,3905.9326125744865,25065.580079513544,,1,3781.0,21159.647466939055,6267.08279437977
62,CT5,Spain,2022.08,IBERICA,CD-Spain,1327.175056752998,CD-ES,EMEA,649.0,TOMATO,15966.551165843826,SOUTH EUROPE,CAW1,IBERICA,2462.8404742939647,18141.429780481354,,1,3781.0,15678.58930618739,2174.878614637527
63,CT51,France,2021.11,EMEA GLASS,CD-France-Glass,365.3321906245001,CD-FR-GLAS,EMEA,664.0,TOMATO,13943.172385688467,NORTH EUROPE,CAW2,EMEA GLASS,1798.1021748769192,16772.456959297117,,1,3354.0,14974.354784420197,2829.2845736086497
64,CT52,Germany,2020.06,NW OPEN FIELD,CD-Germany-Openf,1975.10330275422,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,18465.263371926016,NORTH EUROPE,CAW2,NW OPEN FIELD,3351.764285596723,23077.36435994543,,1,3385.0,19725.600074348706,4612.100988019415
65,CT52,Germany,2021.04,NW OPEN FIELD,CD-Germany-Openf,1937.173774799908,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,15265.073920067634,NORTH EUROPE,CAW2,NW OPEN FIELD,2331.24366305558,17419.422426669986,,1,3385.0,15088.178763614407,2154.3485066023513
66,CT52,Netherlands,2020.02,NW OPEN FIELD,CD-Netherlands-Openf,1382.243599800825,CD-NL-OPEN,EMEA,669.0,CAULIFLOWER,25513.302544145223,NORTH EUROPE,CAW2,NW OPEN FIELD,3119.8332978319377,31601.526878593264,,1,3605.0,28481.693580761326,6088.224334448041
67,CT56,North Macedonia,2021.06,CENTRAL EUROPE & BALKANS,CD-Macedonia,1279.719975587142,CD-MK,EMEA,634.0,OTHER VEGETABLE SEED,21204.64627977958,"E-EUROPE, AFRICA & IRAN",CAE1,E-EUROPE&ISRAEL,3232.583999646542,24891.120754755968,,1,3605.0,21658.536755109424,3686.4744749763877
68,CT51,Netherlands,2021.08,EMEA GLASS,CD-Netherlands-Glass,1694.927495266001,CD-NL-GLAS,EMEA,663.0,TOMATO,13771.50855775283,NORTH EUROPE,CAW2,EMEA GLASS,2311.3902561930595,16958.583137332495,,1,3605.0,14647.192881139435,3187.074579579665
69,CT52,Germany,2020.01,NW OPEN FIELD,CD-Germany-Openf,135.7328972986122,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,27917.272898818614,NORTH EUROPE,CAW2,NW OPEN FIELD,5152.698867904937,32491.463735541816,,1,3385.0,27338.764867636877,4574.190836723201
70,CT52,Germany,2020.02,NW OPEN FIELD,CD-Germany-Openf,461.6440949046789,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,13754.014781543541,NORTH EUROPE,CAW2,NW OPEN FIELD,1026.9922396987943,15823.391674758841,,1,3385.0,14796.399435060046,2069.376893215299
71,CT52,Germany,2020.02,NW OPEN FIELD,CD-Germany-Openf,1663.240125702657,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,19412.714289501127,NORTH EUROPE,CAW2,NW OPEN FIELD,2986.2232705403903,23032.951402424853,,1,3385.0,20046.72813188446,3620.237112923724
72,CT52,France,2020.05,NW OPEN FIELD,CD-France-Openf,1357.459676478451,CD-FR-OPEN,EMEA,670.0,SQUASH,12389.335438539327,NORTH EUROPE,CAW2,NW OPEN FIELD,2031.8208979939225,14164.91180537582,,1,3354.0,12133.090907381897,1775.576366836493
73,CT52,Netherlands,2020.09,NW OPEN FIELD,CD-Netherland-Openf,198.0702418496865,CD-NL-OPEN,EMEA,669.0,CARROT,10595.40275449858,NORTH EUROPE,CAW2,NW OPEN FIELD,1798.175492533053,12447.96654690458,,1,3605.0,10649.791054371526,1852.563792406
74,CT59,Iran,2021.07,IRAN,CD-Iran,909.4577626670643,CD-IR,EMEA,688.0,ONION,16967.982057825353,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,2393.4341805241047,20259.199310260807,,1,3605.0,17865.7651297367,3291.217252435455
75,CT7,Italy,2020.03,ITALY,CD-Italy,1392.326063986347,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,24644.832068818785,SOUTH EUROPE,CAW1,ITALY,3507.6218369063317,27042.18390432444,,1,3515.0,23534.56206741811,2397.351835505654
76,CT7,Italy,2022.04,ITALY,CD-Italy,2120.404579911332,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,20830.668036950865,SOUTH EUROPE,CAW1,ITALY,3007.9636220661446,24653.782269133448,,1,3515.0,21645.818647067303,3823.1142321825832
77,CT50,France,2020.12,EMEA PROCESSING,CD-France-Proc,1296.510152593866,CD-FR-PROC,EMEA,657.0,SPINACH,15063.783608063932,NORTH EUROPE,CAW2,EMEA PROCESSING,2607.0546982813157,16924.3591213299,,1,3155.0,14317.304423048583,1860.5755132659683
78,CT50,France,2021.06,EMEA PROCESSING,CD-France-Proc,403.7871299064561,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",23101.444123350688,NORTH EUROPE,CAW2,EMEA PROCESSING,3475.834520077083,28104.08131321904,,1,3155.0,24628.24679314196,5002.637189868352
79,CT52,Germany,2020.1,NW OPEN FIELD,CD-Germany-Openf,442.5679580677565,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,14186.548029013287,NORTH EUROPE,CAW2,NW OPEN FIELD,2559.762318883573,17585.726194682153,,1,3385.0,15025.963875798581,3399.178165668865
80,CT52,Netherlands,2020.11,NW OPEN FIELD,CD-Netherlands-Openf,1399.815049571261,CD-NL-OPEN,EMEA,669.0,LETTUCE,26807.534142121465,NORTH EUROPE,CAW2,NW OPEN FIELD,3972.7173515135264,32305.44655739396,,1,3605.0,28332.729205880434,5497.9124152724935
81,CT1,South Africa,2020.12,SOUTH AFRICA,CD-South Africa,330.9477838896149,CD-ZA,EMEA,639.0,PEPPER,16444.738140695365,"E-EUROPE, AFRICA & IRAN",CAE1,AFRICA,2025.2777024247155,19075.854983628225,,1,3743.0,17050.57728120351,2631.1168429328595
82,CT51,France,2020.02,EMEA GLASS,CD-France-Glass,171.282360575033,CD-FR-GLAS,EMEA,664.0,TOMATO,10436.888813019581,NORTH EUROPE,CAW2,EMEA GLASS,2043.2451296445404,12356.625535281933,,1,3354.0,10313.380405637394,1919.7367222623532
83,CT52,Germany,2020.04,NW OPEN FIELD,CD-Germany-Openf,1085.753628319747,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,27123.384963871744,NORTH EUROPE,CAW2,NW OPEN FIELD,3426.9460194081416,31292.37196711532,,1,3385.0,27865.42594770718,4168.987003243574
84,CT5,Spain,2022.08,IBERICA,CD-Spain,125.2162848642556,CD-ES,EMEA,649.0,TOMATO,18511.10815754973,SOUTH EUROPE,CAW1,IBERICA,3357.9192084829656,21913.058788185175,,1,3781.0,18555.13957970221,3401.9506306354433
85,CT50,France,2022.1,EMEA PROCESSING,CD-France-Proc,547.0477483931707,CD-FR-PROC,EMEA,657.0,"BEAN, GARDEN",25227.75014695488,NORTH EUROPE,CAW2,EMEA PROCESSING,4187.292510213918,30791.053625574074,,1,3155.0,26603.761115360154,5563.303478619192
86,CT52,Germany,2021.09,NW OPEN FIELD,CD-Germany-Openf,345.6970757749486,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,13546.81124321578,NORTH EUROPE,CAW2,NW OPEN FIELD,1956.453439410078,15564.904115787243,,1,3385.0,13608.450676377166,2018.0928725714648
87,CT52,Germany,2022.02,NW OPEN FIELD,CD-Germany-Openf,34.32556029988029,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,12304.336487902861,NORTH EUROPE,CAW2,NW OPEN FIELD,1839.2638695671656,14759.383549345599,,1,3385.0,12920.119679778434,2455.047061442738
88,CT52,Germany,2022.03,NW OPEN FIELD,CD-Germany-Openf,517.6452055379297,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,12825.353956542405,NORTH EUROPE,CAW2,NW OPEN FIELD,1931.2369620513168,15928.33011580051,,1,3385.0,13997.093153749194,3102.976159258106
89,CTX1,Undef EMEA,2020.11,UNDEF EMEA,CD-Undef EMEA,1247.884318385317,CD-X1,EMEA,911.0,TOMATO,15467.950839272922,UNDEF EMEA,CAX1,UNDEF EMEA,2238.1841380582946,16784.54504917019,,1,3605.0,14546.360911111895,1316.594209897267
90,CTX1,Undef EMEA,2020.09,UNDEF EMEA,CD-Undef EMEA,43.73714507983868,CD-X1,EMEA,911.0,TOMATO,20484.763999709357,UNDEF EMEA,CAX1,UNDEF EMEA,2749.716220190785,24191.62290925713,,1,3605.0,21441.906689066345,3706.8589095477746
